"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,
Publication ID,DOI,Title,Abstract,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Cited references
pub.1004006776,10.1007/0-387-34588-4_27,The Corporate Digital Divide Between Smaller and Larger Firms,,IFIP Advances in Information and Communication Technology,2006,208,,413-417,"Pliskin, Nava; Levy, Margi; Heart, Tsipi; O’Flaherty, Brian; O’Dea, Paul",Ben-Gurion University of the Negev; University of Warwick; University College Cork,Israel; United Kingdom; Ireland,https://app.dimensions.ai/details/publication/pub.1004006776,1,"[Heart, Tsipi; Pliskin, Nava]|[ur.013037325611.84; ur.07626110177.50]|INFOR Information Systems and Operational Research|2002|40|1|23-34|10.1080/03155986.2002.11732639|pub.1002665968|14;[Ballantine, J; Levy, M; Powell, P]|[ur.014133625203.31; ur.015526566203.58; ur.015510442771.15]|European Journal of Information Systems|1998|7|4|241-251|10.1057/palgrave.ejis.3000307|pub.1028312876|89;[Levy, Margi; Powell, Philip; Yetton, Philip]|[ur.015526566203.58; ur.015510442771.15; ur.07415656225.24]|Small Business Economics|2002|19|4|341-354|10.1023/a:1019654030019|pub.1042604116|69;[Heart, T.; Pliskin, N.; Schechtman, E.; Reichel, A.]|[ur.013037325611.84; ur.07626110177.50; ; ]|Information Technology & Tourism|2001|4|1|41-64|10.3727/109830501108750886|pub.1071353441|17"
pub.1030734175,10.1007/978-1-4615-0827-4_11,Using Adult Learning in HRD Programs to Bridge the Digital Divide,"While many people around the world enjoy using computers and the Internet, many more are excluded due to lack of access. This phenomenon is commonly known as the digital divide. The digital divide is a powerful force that threatens to continue dividing the world population into “haves” and “have nots.” The divide can be bridged by the skillful application of adult learning principles if those who design and implement HRD programs understand how these principles apply to people in particular life situations with particular approaches to learning.",Operations Research/Computer Science Interfaces Series,2002,17,,231-244,"Bear, Anne A. Ghost; Conti, Gary J.",Oklahoma State University,United States,https://app.dimensions.ai/details/publication/pub.1030734175,1,"[Godlee, Fiona; Horton, Richard; Smith, Richard]|[ur.0675461762.55; ur.01372435713.34; ur.01077664240.27]|The Lancet|2000|356|9236|1129-1130|10.1016/s0140-6736(00)02752-5|pub.1012006058|15;[Apple, Michael W.]|[ur.011437365563.14]|Computers in the Schools|1991|8|1-3|59-82|10.1300/j025v08n01_07|pub.1029517327|49;[Smith, Robert M.]|[]|Adult Learning|1991|2|6|11-13|10.1177/104515959100200605|pub.1063924957|14"
pub.1040535260,10.4018/978-1-59140-968-7.ch002,Epistemic Value Theory and the Digital Divide,"The digital divide refers to inequalities in access to information technology. Those people who do not have access to information technology are at a significant economic and social disadvantage. As with any other policy decision, in order to evaluate policies for dealing with the digital divide, we need to know exactly what our goal should be. Since the principal value of access to information technology is that it leads to knowledge, work in epistemology can help us to clarify our goal in the context of the digital divide. In this paper, I argue that epistemic value theory can help us to determine which distribution of knowledge to aim for. Epistemic value theory cannot specify a particular distribution to aim for, but it can significantly narrow down the range of possibilities. Additionally, I indicate how the exercise of applying epistemic value theory to the case of the digital divide furthers work in epistemology.",Information Technology and Social Justice,2007,,,29-46,"Rooksby, Emma; Weckert, John; Fallis, Don",University of Arizona,United States,https://app.dimensions.ai/details/publication/pub.1040535260,5,
pub.1107158259,10.1787/236405667766,Understanding the Digital Divide,"The term ""digital divide"" refers to the gap between individuals, households, businesses and geographic areas at different socio-economic levels with regard to their opportunities to access information and communication technologies (ICTs).",,2001,,,,OECD,,,https://app.dimensions.ai/details/publication/pub.1107158259,117,
pub.1015113631,10.1023/b:mind.0000005137.58950.c9,Making Information Transparent as a Means to Close the Global Digital Divide,"This paper argues that information should be made transparent as a means to close the global digital divide problem. The usual conception of the digital divide as a bifurcation between the information ‘rich’ and ‘poor’ in fact does a poor job at describing the reality of the situation, which is characterized by multiple dimensions of digital divides in many contexts. Taking the lead from Albert Borgmann, it is recognized that the so-called information poor do possess a rich resource of information which needs to be fully accounted for in order to solve the global digital divide problem. In addition, making information transparent means, following the theory of development of Peruvian economist Hernando de Soto, that information should be made available and accessible through a system of representation. Floridi’s account of information ethics thus needs to be supplemented by the realization that members of infosphere, which in his view consist of information objects, should be made transparent in order that the global digital divide be ameliorated. In other words there should be a system of information about information, namely semantic representation of objective information which enables the locals to make full use of their available informational resources.",Minds and Machines,2004,14,1,85-99,"Hongladarom, Soraj",Chulalongkorn University,Thailand,https://app.dimensions.ai/details/publication/pub.1015113631,10,"[Floridi, Luciano]|[ur.015031603611.12]|Ethics and Information Technology|1999|1|1|33-52|10.1023/a:1010018611096|pub.1009300700|241;[Floridi, Luciano]|[ur.015031603611.12]|Metaphilosophy|2002|33|1‐2|123-145|10.1111/1467-9973.00221|pub.1015072051|125;[Floridi, Luciano; Sanders, J.W.]|[ur.015031603611.12; ]|Ethics and Information Technology|2002|4|1|1-9|10.1023/a:1015209807065|pub.1016440283|60;[Floridi, Luciano]|[ur.015031603611.12]|Ethics and Information Technology|2002|4|4|287-304|10.1023/a:1021342422699|pub.1037776593|134;[Moss, Jeremy]|[]|Ethics and Information Technology|2002|4|2|159-165|10.1023/a:1019983909305|pub.1037967441|28;[Hargittai, Eszter]|[ur.014036273417.00]|First Monday|2002|7|4||10.5210/fm.v7i4.942|pub.1072710742|999;[Floridi, Luciano]|[ur.015031603611.12]|Philosophy in the Contemporary World|2002|9|1|39-45|10.5840/pcw2002915|pub.1073224210|40;[Floridi, Luciano]|[ur.015031603611.12]|The Philosophers Magazine|2001||16|18-19|10.5840/tpm20011647|pub.1073266238|14"
pub.1039002537,10.1080/1097198x.2005.10856401,A Conceptual Framework for the Role of Government in Bridging the Digital Divide,"In the current era of technological growth and innovation, the role of information and communication technology (ICT) as a catalyst to enhance economic development and the quality of life in developing countries, has become an increasingly important issue. The term digital divide has been used to refer to the gap between those who have access to and utilize ICT versus those who do not. Based on the literature on the digital divide and calls for broad-spectrum interdisciplinary frameworks to guide research on this topic (Lu, 2001), a conceptual framework is presented in this paper to explain the forces that often increase the digital divide as well as those that can provide the means to bridge it. Using this framework, India is used as an illustrative case to document attempts to utilize ICT to enhance the economic circumstances and quality of life for the rural and poor segments of the Indian population and to argue that government and other public institutions have an important role in bridging the digital divide in developing countries. Further, the direct role of government is distinguished from the indirect role in order to clarify and delineate the various ways in which public institutions can facilitate bridging the digital divide.",Journal of Global Information Technology Management,2005,8,3,28-46,"Mistry, Jamshed J.",Worcester Polytechnic Institute,United States,https://app.dimensions.ai/details/publication/pub.1039002537,18,"[Lu, Ming-te]|[ur.015276504143.90]|Journal of Global Information Technology Management|2001|4|3|1-4|10.1080/1097198x.2001.10856304|pub.1012019015|45;[Bateman, Milford]|[ur.015427664346.16]|Small Business Economics|2000|14|4|275-298|10.1023/a:1008170805013|pub.1016644878|54;[Marangos, John]|[ur.013540176363.76]|Journal of International Development|2002|14|5|573-589|10.1002/jid.909|pub.1019207111|21;[Kaushik, Surendra K.]|[ur.07474065125.54]|American Journal of Economics and Sociology|2010|56|1|69-84|10.1111/j.1536-7150.1997.tb03452.x|pub.1019651167|17;[James, J.]|[ur.07532230071.92]|Futures|2003|35|5|461-472|10.1016/s0016-3287(02)00092-7|pub.1031846519|26;[Davison, Robert; Harris, Roger; Vogel, Doug; de Vreede, Gert Jan]|[ur.015315076147.37; ; ur.016344630467.67; ur.011536255313.17]|Journal of Global Information Technology Management|1999|2|3|1-4|10.1080/1097198x.1999.10856255|pub.1036718468|5;[Palvia, Prashant C; Palvia, Shailendra C Jain; Whitworth, James Edward]|[ur.010366556753.27; ur.013376747015.60; ur.016516144503.82]|Information & Management|2002|39|5|403-414|10.1016/s0378-7206(01)00106-9|pub.1048006407|54;[Sharma, Sushil K.; Gupta, Jatinder N.D.]|[ur.013744356242.19; ur.014570173447.25]|Journal of Global Information Technology Management|2003|6|3|3-21|10.1080/1097198x.2003.10856353|pub.1049911686|20;[Matsuyama, Kiminori]|[]|Journal of Political Economy|2002|110|5|1035-1070|10.1086/341873|pub.1058639175|150;[Mansell, R.]|[ur.013665171232.89]|Oxford Review of Economic Policy|2001|17|2|282-295|10.1093/oxrep/17.2.282|pub.1059967054|77;[RIGGINS, FREDERICK J.]|[ur.013255447741.01]|Journal of Management Information Systems|2004|21|2|161-179|10.1080/07421222.2004.11045807|pub.1085538068|18;[Compaine, Benjamin M.]|[]|The Digital Divide|2001||||10.7551/mitpress/2419.001.0001|pub.1110922707|242"
pub.1051403945,10.1080/01972240309490,"Dissecting the ""Digital Divide"": A Case Study in Egypt","For the last decade, the concept of a ""digital divide"" has framed people's understanding of technology's relationship to equity and development. This article critiques theoretically the digital divide concept and supports this critique by examining a case study of technology and education in Egypt. The study illustrates the social embeddedness of technology and the intertwining of computer access with broader issues of political power, thus refuting simplistic notions of divides to be overcome through provision of equipment.",The Information Society,2003,19,4,297-304,"Warschauer, Mark","University of California, Irvine",United States,https://app.dimensions.ai/details/publication/pub.1051403945,144,"[Amsden, Alice H.; Hikino, Takashi]|[ur.010160452313.30; ur.013074345771.51]|Learning and Technological Change|1993|||243-266|10.1007/978-1-349-22855-3_13|pub.1044572297|26;[Hodas, Steven]|[]|Education Policy Analysis Archives|1993|1||10|10.14507/epaa.v1n10.1993|pub.1067332512|50;[Goody, Jack]|[]|British Journal of Sociology|1973|24|1|1-12|10.2307/588794|pub.1070645303|25;[Cisler, Steve]|[]|First Monday|2000|5|11||10.5210/fm.v5i11.805|pub.1072710533|1;[Warschauer, Mark]|[]|First Monday|2002|7|7||10.5210/fm.v7i7.967|pub.1072710766|284;[]|[]|The Psychology of Literacy|1981||||10.4159/harvard.9780674433014|pub.1099346949|1618;[Corea, Stephen]|[]|The Electronic Journal of Information Systems in Developing Countries|2000|2|1|1-15|10.1002/j.1681-4835.2000.tb00009.x|pub.1099624465|16"
pub.1014954786,10.1145/985921.985968,Connecting bridges across the digital divide,"Connecting people across the Digital Divide is as much a social effort as a technological one. We are developing a community-centered approach to learn how interaction techniques can compensate for poor communication across the Digital Divide. Preliminary trials have yielded interfaces that deal with poor quality by adapting Instant Messaging techniques for multiple modalities, providing improved semi-synchronous communication. Lessons learned suggest new ways to design user interfaces specifically for the developing world.",Extended abstracts of the 2004 conference on Human factors and computing systems  - CHI '04,2004,,,1039-1040,"Tucker, William D.",University of Cape Town,South Africa,https://app.dimensions.ai/details/publication/pub.1014954786,1,"[Nardi, Bonnie A.; Whittaker, Steve; Bradner, Erin]|[ur.012361270012.98; ur.016474223754.83; ur.016460734277.47]|Proceedings of the 2000 ACM conference on Computer supported cooperative work  - CSCW '00|2000|||79-88|10.1145/358916.358975|pub.1001414982|603"
pub.1031109669,10.1007/978-3-540-30078-6_48,Digital Divides Revisited: Towards a Model for Analysis,"This paper presents a model for analyzing divides. The model is based on earlier research on the divide and includes: physical access, autonomy of use, know-how and motivation. Depending on the type of digital divide and the local situation, rectifying efforts must address the most crucial factor, which could be any of the four.",Lecture Notes in Computer Science,2004,3183,,289-292,"Andersson, Annika",Örebro University,Sweden,https://app.dimensions.ai/details/publication/pub.1031109669,1,"[Katz, James; Aspden, Philip]|[ur.011125014303.05; ur.011004276717.53]|Internet Research|1997|7|3|170-188|10.1108/10662249710171814|pub.1002872177|179;[Hargittai, Eszter]|[ur.014036273417.00]|Journal of the Association for Information Science and Technology|2002|53|14|1239-1244|10.1002/asi.10166|pub.1003802830|110;[Hartviksen, Gjermund; Akselsen, Sigmund; Eidsvik, Arne Ketil]|[ur.01154170204.24; ur.01263340723.11; ur.011771216257.76]|Education and Information Technologies|2002|7|2|93-109|10.1023/a:1020349509331|pub.1050965790|8;[Hargittai, Eszter]|[ur.014036273417.00]|First Monday|2002|7|4||10.5210/fm.v7i4.942|pub.1072710742|999;[OECD]|[]|Schooling for Tomorrow|2000||||10.1787/9789264187764-en|pub.1107162534|17"
pub.1011714088,10.1007/978-1-4757-3575-8_2,The Three Digital Divides,"With Internet connectivity progressing at a dizzying rate, the focus of attention has shifted to those left behind. The shorthand word for this concern is the “digital divide.” Underlying virtually every discussion about this digital divide of Internet connectivity is the implicit assumption that such a divide is a bad thing, requiring us to do “something.” But maybe we first should pause for a moment and understand the implications of ending this divide. If we do that, we might end up changing our perspective on Internet policy in an important way: away from a focus on Internet connectivity, and towards the creation of E-commerce and content.",Topics in Regulatory Economics and Policy,2002,,,19-26,"Noam, Eli M.",Columbia University,United States,https://app.dimensions.ai/details/publication/pub.1011714088,0,
pub.1072709320,10.5210/fm.v11i5.1327,Zones of silence: A framework beyond the digital divide,"There is no doubt that much digital divide work — including connectivity initiatives, technology transfer programs, and other projects — is done with good intention. Yet, as has been widely recognized, the conceptual framework of the digital divide is limiting. The language of the digital divide not only places people into simplistic “have”/“have not” categories, making assumptions about the solution to “information poverty” with little attention to local contexts, its logic also continues a paradigm of development that engages with the global south only at the point of what it “lacks”. I propose a framework, which provides a wider, and more nuanced, lens to look through. It focuses work in ways and in areas consistently overlooked by the digital divide, particularly on the realities, voices, and complexities within its unconnected, “have not” spaces — the zones of silence. Encouraging critical questioning of assumptions and an understanding of local contexts and points of view, a zones of silence framework is a way to broaden the dialogue on global communication and information access beyond a discourse of need, to one of mutual questioning, sharing, and learning. I begin with a brief critique of the digital divide, followed by a definition of this zones of silence framework and how it can help us to see and consider issues differently. I then suggest three areas where work from this perspective might begin.",First Monday,2006,,,,"Potter, Amelia Bryne",,,https://app.dimensions.ai/details/publication/pub.1072709320,24,
pub.1072709159,10.5210/fm.v0i0.1797,Zones of silence: A framework beyond the digital divide (originally published in May 2006),"There is no doubt that much digital divide work — including connectivity initiatives, technology transfer programs, and other projects — is done with good intention. Yet, as has been widely recognized, the conceptual framework of the digital divide is limiting. The language of the digital divide not only places people into simplistic “have”/“have not” categories, making assumptions about the solution to “information poverty” with little attention to local contexts, its logic also continues a paradigm of development that engages with the global south only at the point of what it “lacks”. I propose a framework, which provides a wider, and more nuanced, lens to look through. It focuses work in ways and in areas consistently overlooked by the digital divide, particularly on the realities, voices, and complexities within its unconnected, “have not” spaces — the zones of silence. Encouraging critical questioning of assumptions and an understanding of local contexts and points of view, a zones of silence framework is a way to broaden the dialogue on global communication and information access beyond a discourse of need, to one of mutual questioning, sharing, and learning. I begin with a brief critique of the digital divide, followed by a definition of this zones of silence framework and how it can help us to see and consider issues differently. I then suggest three areas where work from this perspective might begin.",First Monday,2007,,,,"Potter, Amelia Bryne",,,https://app.dimensions.ai/details/publication/pub.1072709159,0,
pub.1026378124,10.1145/777313.777318,Rethinking the digital divide,"African-American students are all too aware that the digital divide is not merely about Internet access. Rather, it involves access to the social networks that ease the path to success in high-tech careers.",Communications of the ACM,2003,46,6,89-91,"Payton, Fay Cobb",North Carolina State University,United States,https://app.dimensions.ai/details/publication/pub.1026378124,27,"[Payton, Fay Cobb; Jackson, Cynthia]|[ur.07604463107.21; ]|ACM SIGCPR Computer Personnel|1999|20|3|27-39|10.1145/568508.568510|pub.1044344652|11;[Northcraft, Gregory]|[ur.011676363117.92]|Academy of Management Journal|2000|43|1|5-6|10.5465/amj.2000.18454406|pub.1072895410|2;[Igbaria, Magid; Wormley, Wayne M.]|[ur.01014261436.52; ur.012471104270.11]|MIS Quarterly|1992|16|4|507|10.2307/249734|pub.1102514962|77"
pub.1041099909,10.1080/10572317.2002.10762570,Social Impact of the “Digital Divide” in a Central–Eastern European Country,"The social impact of the “Digital Divide” in a Central–Eastern European country provides a comprehensive study of different “Digital Divides” existing between “emerging democracies” (or “emerging new market-oriented economies”) from Central and Eastern Europe, as well as between them and industrialized developed countries (Western Europe, USA, etc.). Former and actual influencing factors are analyzed and evaluated, basic facts and social impacts are presented, some solutions are issued. The United Nations' concerns and roles are emphasized.",The International Information & Library Review,2002,34,2,139-151,"Dragulanescu, Nicolae-George",University of Pittsburgh,United States,https://app.dimensions.ai/details/publication/pub.1041099909,11,"[Builder, C.H.; Bankes, S.C.]|[ur.016002201015.04; ur.014512330255.23]|IEEE Technology and Society Magazine|1992|11|3|10|10.1109/mtas.1992.158965|pub.1061430529|3"
pub.1045049855,10.1006/iilr.2002.0190,Social Impact of the “Digital Divide” in a Central–Eastern European Country,"The social impact of the “Digital Divide” in a Central–Eastern European country provides a comprehensive study of different “Digital Divides” existing between “emerging democracies” (or “emerging new market-oriented economies”) from Central and Eastern Europe, as well as between them and industrialized developed countries (Western Europe, USA, etc.). Former and actual influencing factors are analyzed and evaluated, basic facts and social impacts are presented, some solutions are issued. The United Nations' concerns and roles are emphasized.",The International Information & Library Review,2002,34,2,139-151,"DRAGULANESCU, NICOLAE-GEORGE",,,https://app.dimensions.ai/details/publication/pub.1045049855,10,"[Builder, C.H.; Bankes, S.C.]|[ur.016002201015.04; ur.014512330255.23]|IEEE Technology and Society Magazine|1992|11|3|10|10.1109/mtas.1992.158965|pub.1061430529|3"
pub.1052544959,10.1016/s0167-4870(02)00171-x,Digital divide and purchase intention: Why demographic psychology matters,"The author examines the issue of digital divide from a demographic perspective. The influence of gender, age, education, and income on the likelihood to purchase over the Internet is empirically examined. Hypotheses are framed in the context of psychological correlates of the demographic variables. Findings show that these variables significantly influence the likelihood to purchase over the Internet and can be used to profile, segment, and target markets and develop public policies to bridge the digital divide.",Journal of Economic Psychology,2003,24,3,321-327,"Akhter, Syed H.",Marquette University,United States,https://app.dimensions.ai/details/publication/pub.1052544959,87,"[Ehrlich, Howard J.; Lee, Dorothy]|[; ]|Psychological Bulletin|1969|71|4|249-260|10.1037/h0027022|pub.1002199288|57;[NAYGA, RODOLFO M.; LIPINSKI, DARIA; SAVUR, NITIN]|[ur.012663275027.98; ; ]|Journal of Consumer Affairs|1998|32|1|106-120|10.1111/j.1745-6606.1998.tb00402.x|pub.1004178267|117;[DOTI, JAMES L.; SHARIR, SHMUEL]|[; ur.07647161414.87]|Economic Inquiry|1981|19|2|196-208|10.1111/j.1465-7295.1981.tb01130.x|pub.1010858011|31;[Cliff, Jennifer E.]|[]|Journal of Business Venturing|1998|13|6|523-542|10.1016/s0883-9026(97)00071-2|pub.1018909918|478;[Lundeberg, Mary A.; Fox, Paul W.; Punćochaŕ, Judith]|[ur.01142540631.68; ur.012223061613.91; ]|Journal of Educational Psychology|1994|86|1|114-121|10.1037/0022-0663.86.1.114|pub.1021925649|368;[Porter, Thomas C.; Swerdlow, Robert A.; Staples, William A.]|[; ; ]|Business Horizons|1979|22|1|75-83|10.1016/0007-6813(79)90111-3|pub.1030650305|14;[Eagly, Alice H.]|[ur.01264711621.19]|American Psychologist|1995|50|3|145-158|10.1037/0003-066x.50.3.145|pub.1036036868|447;[Rogers, Everett M.]|[]|Schriftenreihe des Wissenschaftlichen Instituts für Kommunikationsdienste|1995|||25-38|10.1007/978-3-642-79868-9_2|pub.1043882962|573;[Powell, Melanie; Ansic, David]|[; ur.016660726121.14]|Journal of Economic Psychology|1997|18|6|605-628|10.1016/s0167-4870(97)00026-3|pub.1048026348|813;[Gilly, Mary C.; Zeithaml, Valarie A.]|[; ur.016623020210.20]|Journal of Consumer Research|1985|12|3|353|10.1086/208521|pub.1058528108|189;[Goldman, Arieh; Johansson, J. K.]|[; ]|Journal of Consumer Research|1978|5|3|176-186|10.1086/208729|pub.1058528316|85;[Labay, Duncan G.; Kinnear, Thomas C.]|[; ]|Journal of Consumer Research|1981|8|3|271|10.1086/208865|pub.1058528452|258;[Beatty, Sharon E.; Smith, Scott M.]|[; ]|Journal of Consumer Research|1987|14|1|83|10.1086/209095|pub.1058528682|858;[Murthi, B. P. S.; Srinivasan, Kannan]|[ur.015547453600.40; ur.016203056636.35]|Journal of Business|1999|72|2|229-256|10.1086/209612|pub.1058529166|25;[Stigler, George J.]|[]|Journal of Political Economy|1961|69|3|213-225|10.1086/258464|pub.1058571945|3953;[Lewellen, Wilbur G.; Lease, Ronald C.; Schlarbaum, Gary G.]|[ur.014067002157.18; ur.013522376611.72; ur.015713027067.30]|Journal of Business|1977|50|3|296|10.1086/295947|pub.1058605773|164;[Klippel, R E; Sweeney, T W]|[; ]|The Gerontologist|1974|14|2|163-6|10.1093/geront/14.2.163|pub.1059630627|56;[Bass, Frank M.]|[ur.015242032057.07]|Management Science|1969|15|5|215-227|10.1287/mnsc.15.5.215|pub.1064716483|4596;[Robertson, Thomas S.]|[]|Journal of Marketing|1967|31|1|14|10.2307/1249295|pub.1069415234|159;[Russo, J. Edward; Krieser, Gene; Miyashita, Sally]|[ur.012432123247.72; ur.014025064247.71; ur.015420025247.81]|Journal of Marketing|1975|39|2|11|10.2307/1250110|pub.1069415953|63;[Hartley, Robert F.; Engel, James F.; Kollat, David T.; Blackwell, Roger D.]|[; ur.015002505310.47; ur.010656452145.45; ur.012715654432.85]|Journal of Marketing|1974|38|2|107|10.2307/1250212|pub.1069416046|68;[Gatignon, Hubert; Robertson, Thomas S.]|[ur.016330321521.41; ur.010476165607.64]|Journal of Marketing|1989|53|1|35|10.2307/1251523|pub.1069417188|323;[Granger, C. W. J.; Billson, A.]|[ur.011005123376.02; ur.013175444776.52]|Journal of Marketing Research|1972|9|3|239|10.2307/3149533|pub.1070212131|47;[Phillips, Lynn W.; Sternthal, Brian]|[ur.0105304467.31; ur.014012203445.26]|Journal of Marketing Research|1977|14|4|444|10.2307/3151185|pub.1070213544|159;[]|[]|Choice|1997|35|03|35-1629-35-1629|10.5860/choice.35-1629|pub.1073346874|26"
pub.1072709311,10.5210/fm.v11i3.1318,Digital divide or digital development?: The Internet in Mexico,"This paper discusses the development of the Internet in Mexico within the context of the digital divide. There is skepticism about whether the digital divide is something driven primarily by technology rather than an epiphenomenon driven by socioeconomic factors. The barriers to access are not technological but rather economic and historical. Although Mexico shows wide disparities in Internet access, it also shows rapid development toward more access. The number of regular Internet users in Mexico is small (about 14 million) but has shown consistent growth. Business and non–governmental organization presence on the Web is increasing, and the Mexican government is innovatively using the Web to broaden contact with its citizens. In the Mexican case, there is certainly evidence of a digital divide. Nevertheless, there is also ample evidence of digital development.",First Monday,2006,,,,"Curry, James; Kenney, Martin",,,https://app.dimensions.ai/details/publication/pub.1072709311,13,
pub.1063872579,10.1177/0894439305278975,Follow the Money,"Expanding the principles of the universal provision of telecommunications services to encompass elementary and secondary schools and libraries, lawmakers paved the way for the creation of the E-Rate program by passing the Telecommunications Act in 1996. The E-Rate program aims to bridge the digital divide in advanced telecommunications by offering services to eligible schools and libraries for educational purposes at discounted rates. Currently in its sixth cycle, the E-Rate program has provided nearly US$13 billion in discounts to eligible organizations. The program has inspired much controversy and criticism, yet studies provide evidence that the program is effectively helping to enhance the provision of services to traditionally disadvantaged communities. This study challenges these claims and presents empirical evidence that suggests E-Rate resources are not systematically allocated to underprivileged, rural states where funds would most effectively help to bridge the digital gap in access to telecommunications technologies.",Social Science Computer Review,2005,23,4,502-506,"Panagopoulos, Costas",Yale University,United States,https://app.dimensions.ai/details/publication/pub.1063872579,6,
