"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,ISBN,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,ISSN,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
911,pub.1002854665,10.1016/j.iilr.2005.07.001,,,,Bridging the digital divide in Sub-Saharan Africa: The rural challenge in Uganda,"A study was conducted in 2002/2003 to investigate and assess the strategies of bridging the digital divide in Uganda. Data were collected qualitatively using semi-structured interviews. The study focused in depth on a relatively small sample of people concerned with the digital divide. Data was analysed using the grounded theory approach. Three categories of players in the digital divide emerged from the data, namely information workers, business entrepreneurs and policy makers. Finally the concept that emerged from the analysis pointed directly to the information workers, which suggests that the National Library and other information centres are valuable in bridging the digital divide in Sub-Saharan Africa. Some implications of the study areas for further research are highlighted.",The author is very grateful to the interviewees for allowing him to interrupt their busy schedules.,The International Information & Library Review,,Taylor & Francis,"0020-7837, 1057-2317",,2005-09,2005,,2005-09,37,3,147-158,Closed,Article,"Kasusse, Michael","Kasusse, Michael (Mildmay Centre, P.O. Box 24985, Kampala, Uganda)","Kasusse, Michael ","Kasusse, Michael ()",,,,,,,,,,,11,0,,7.08,,,https://app.dimensions.ai/details/publication/pub.1002854665,46 Information and Computing Sciences; 4610 Library and Information Studies,,,8.1 Organisation and delivery of services,,,C17 Business and Management Studies,
911,pub.1046334375,10.1080/10572317.2005.10762676,,,,Bridging the digital divide in Sub-Saharan Africa: The rural challenge in Uganda⋆,"A study was conducted in 2002/2003 to investigate and assess the strategies of bridging the digital divide in Uganda. Data were collected qualitatively using semi-structured interviews. The study focused in depth on a relatively small sample of people concerned with the digital divide. Data was analysed using the grounded theory approach. Three categories of players in the digital divide emerged from the data, namely information workers, business entrepreneurs and policy makers. Finally the concept that emerged from the analysis pointed directly to the information workers, which suggests that the National Library and other information centres are valuable in bridging the digital divide in Sub-Saharan Africa. Some implications of the study areas for further research are highlighted.",The author is very grateful to the interviewees for allowing him to interrupt their busy schedules.,The International Information & Library Review,,Taylor & Francis,"0020-7837, 1057-2317, 1095-9297",,2005-09,2005,2013-12-02,2005-09,37,3,147-158,Closed,Article,"Kasusse, Michael","Kasusse, Michael (Mildmay Centre, P.O. Box 24985, Kampala, Uganda, lkasussem@yahoo.com)","Kasusse, Michael ","Kasusse, Michael ()",,,,,,,,,,,4,0,,2.58,,,https://app.dimensions.ai/details/publication/pub.1046334375,46 Information and Computing Sciences; 4610 Library and Information Studies,,,8.1 Organisation and delivery of services,,,C17 Business and Management Studies,
903,pub.1033243853,10.1016/j.ijhcs.2006.05.003,,,,Measuring Internet usage: The Israeli case,"The article describes two instruments for measuring Internet Usage and the changes in subjects’ Internet usage following a controlled intervention. It focuses on the use of usage and lack of usage for measuring the digital gap. The “digital gap” is defined as the gap between individuals with and without access to technology (telephones, computers, Internet access) and related services. Since its emergence, the Internet has become the most important form of information and communication technology (ICT).The goal of the present research was to develop ways of measuring Internet usage for different segments of the Israeli population (it can also be used to measure Internet usage outside Israel). For the past few years, the Israeli government has sponsored programs designed to increase Internet usage in specific segments of the Israeli population. Some of these programs have been “controlled programs”. Controlled Internet Usage Programs are planned and monitored programs, which use research methods to discover whether they have increased Internet usage and changed Internet habits.The population of Internet users in Israel is presently 45.8% (compared with 68.2% in the US population). The past 5 years has witnessed a significant rise in the number of Internet users in the West in general and in Israel specifically: an increase of 152% in the number of Israeli households connected to the Internet during the period 2000–2005.However, large differences are apparent between the stronger and weaker sections of the Israeli population where the Internet is concerned, and controlled intervention is therefore a very important means of reducing these discrepancies.The present article describes two measurement instruments: the first instrument examines on-line proficiency, while the second determines patterns of Internet use and the status of respondents’ “Internet awareness”.The instruments were built to determine the reduction in the digital divide associated with Internet usage following controlled intervention, and the population's Internet usage status before and after intervention. The difference between the two measurements represents the increase or decrease in Internet usage.These two instruments may be used by agencies making decisions about resource disbursement to reduce the digital divide in a variety of populations.",,International Journal of Human-Computer Studies,,Elsevier,"1042-8143, 1878-7355, 1071-5819",,2006-10,2006,,2006-10,64,10,984-997,Closed,Article,"Fisher, Yael; Bendas-Jacob, Orit","Fisher, Yael (Henrietta Szold Institute, Achva Academic College, Tel-Aviv, Israel); Bendas-Jacob, Orit (Henrietta Szold Institute, Achva Academic College, Tel-Aviv, Israel)","Fisher, Yael (Achva Academic College)","Fisher, Yael (Achva Academic College); Bendas-Jacob, Orit (Achva Academic College)",Achva Academic College,grid.443007.4,Ashqelon,,Israel,,,,,,5,0,,,,,https://app.dimensions.ai/details/publication/pub.1033243853,46 Information and Computing Sciences,Clinical Research,,,,,C17 Business and Management Studies,
901,pub.1044908392,10.1080/01972240600903953,,,,Gaps and Bits: Conceptualizing Measurements for Digital Divide/s,"Three arguments are raised in this article with regard to the indices used to measure the digital divide. First, I criticize policymakers who rely on simplistic measures of the digital divide, at the expense of a thoughtful analysis of (1) the purpose of the tool, (2) the level of observation, and (3) the method of approaching the data. Second, I argue that networks and associated technologies are not neutral artifacts but are political and social spaces in their structure as well as in their content levels. Accordingly, we need to factor in the context as an important actor in conceptualizing and measuring the digital divide. Third, two general types of indices are used for the measurement of the digital divide(s): focused monotopical indices and comprehensive indices. Monotopical indices are more widely available, while comprehensive ones are rare. I argue that policymakers need to promote comprehensive indices over monotopical indices. Finally, I present a conceptual definition of the digital divide and a framework for developing a comprehensive index to measure it.","I was lucky to work on the article drafts in collaboration with Sheizaf Rafaeli, and I am grateful for all his help and mentorship. I thank Bob Mason for the enlightening comments, and the anonymous referees who guided us toward sharper arguments. Finally, the stimulating debates in the 2006 Access to Knowledge (A2K) conference in Yale Law School contributed much to refining this article.",The Information Society,,Taylor & Francis,"0197-2243, 1087-6537",,2006-12,2006,,2006-12,22,5,269-278,All OA; Green,Article,"Barzilai-Nahon, Karine","Barzilai-Nahon, Karine (The Information School, University of Washington, Seattle, Washington, USA)","Barzilai-Nahon, Karine (University of Washington)","Barzilai-Nahon, Karine (University of Washington)",University of Washington,grid.34477.33,Seattle,Washington,United States,,,,,,231,25,,59.75,16,http://ibec.ischool.washington.edu/pubs/Barzilai-Nahon_2006_DigitalDivide.pdf,https://app.dimensions.ai/details/publication/pub.1044908392,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4608 Human-Centred Computing; 4610 Library and Information Studies",,,,,,C17 Business and Management Studies,
900,pub.1024449561,10.1007/0-387-25588-5_15,,,"978-0-387-25587-3, 978-0-387-25588-0",Information society and the Digital Divide Problem in Developing Countries,,,IFIP Advances in Information and Communication Technology,Perspectives and Policies on ICT in Society,Springer Nature,"1868-4238, 1868-422X",,2005-01-01,2005,,2005-01-01,179,,205-217,All OA; Bronze,Chapter,"Avgerou, Chrisanthi; Madon, Shirin","Avgerou, Chrisanthi (London School of Economics, London); Madon, Shirin (London School of Economics, London)",,"Avgerou, Chrisanthi (London School of Economics and Political Science); Madon, Shirin (London School of Economics and Political Science)",London School of Economics and Political Science,grid.13063.37,London,,United Kingdom,,,,,,22,7,,,,https://link.springer.com/content/pdf/10.1007%2F0-387-25588-5_15.pdf,https://app.dimensions.ai/details/publication/pub.1024449561,46 Information and Computing Sciences,,,,,,,
896,pub.1016867393,10.4018/978-1-59904-310-4.ch014,,,"9781599043104, 9781599043128",The Existential Significance of the Digital Divide for America's Historically Underserved Populations,"During the 1990s, the digital divide figured prominently in the discourses of academics, corporate leaders, educators, and policymakers worldwide. In the U.S., we witnessed a massive infusion of computers and Internet access in homes, schools, libraries, and other neighborhood institutions. This has significantly increased citizens’ physical access to information and communication technology (ICT) artifacts and has enhanced citizens’ opportunities for acquiring and strengthening technical skills. However, does increased physical access and technical skills signal closure of the digital divide? In this chapter, I address this question by describing the preconstructed ways in which the digital divide is conceptualized by academics and policymakers, and inferring what these conceptualizations suggest about the existential significance of the digital divide as experienced by historically underserved groups in the U.S.",,,Information Technology Ethics,IGI Global,,,2007,2007,,,,,200-212,Closed,Chapter,"Hongladarom, Soraj; Ess, Charles; Kvasny, L.","Hongladarom, Soraj (); Ess, Charles (); Kvasny, L. (The Pennsylvania State University, USA)",,"Hongladarom, Soraj (); Ess, Charles (); Kvasny, L. (Pennsylvania State University)",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,,,,,,3,0,,1.62,,,https://app.dimensions.ai/details/publication/pub.1016867393,"36 Creative Arts and Writing; 46 Information and Computing Sciences; 4610 Library and Information Studies; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,,,,,C17 Business and Management Studies,
896,pub.1000851111,10.1108/01435120710774495,,,,"Bridging the digital divide in Nigeria: a study of internet use in Calabar Metropolis, Nigeria","Purpose The paper aims to discuss and investigate the prevalence of digital divide in Nigeria, using University of Calabar in Calabar Metropolis as a case study.   Design/methodology/approach Validated questionnaires were administered to internet users at designated cyber café in the University of Calabar, Calabar, Nigeria.   Findings The findings of the survey show the prevalence of various forms of digital divide such as gender, marital status, age and educational level of the internet users in Nigeria.   Practical implication The federal/state governments as well as university managements in Nigeria should formulate relevant policies to reduce various forms of digital divide that are prevalent in the Nigeria.   Originality/value The paper recommends the need to effectively address the issue of digital divide in whatever form in Nigeria towards global integration in the digital economy.",,Library Management,,Emerald,"0143-5124, 0309-2232",,2007-07-31,2007,,2007-07-31,28,6/7,355-365,Closed,Article,"Ani, Okon Edet; Uchendu, Chika; Atseye, Emmanuel U.","Ani, Okon Edet (Library Department, University of Calabar, Calabar, Nigeria); Uchendu, Chika (Library Department, University of Calabar, Calabar, Nigeria); Atseye, Emmanuel U. (Library Department, University of Calabar, Calabar, Nigeria)",,"Ani, Okon Edet (University of Calabar); Uchendu, Chika (University of Calabar); Atseye, Emmanuel U. (University of Calabar)",University of Calabar,grid.413097.8,Calabar,Cross River,Nigeria,,,,,,13,3,,9.3,,,https://app.dimensions.ai/details/publication/pub.1000851111,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
896,pub.1094570443,10.1109/hicss.2007.360,,,,Minitrack “Digital Divide”,"Digital divide plays an important role in last years' discourse in theory and practice as well. Starting in the 90's by focusing on infrastructures divides between the ‘have’ and ‘have-not’ and continuing in the following years to other dimensions of the divide such as skills, usage, governmental and communal support and more. This mini-track tries to step out of the traditional look at the digital divide, from an infrastructure point of view, and enable a platform to discuss other perspectives of it-Socio-demographic factors, social and governmental support, conceptualization of the concept digital divide, usage patterns and more.",,,2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07),Institute of Electrical and Electronics Engineers (IEEE),,,2007-01-01,2007,,2007-01-01,,,66-66,Closed,Proceeding,"Karine, Barzilai-Nahon","Karine, Barzilai-Nahon (University of Washington)","Karine, Barzilai-Nahon (University of Washington)","Karine, Barzilai-Nahon (University of Washington)",University of Washington,grid.34477.33,Seattle,Washington,United States,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1094570443,"46 Information and Computing Sciences; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,,,,,C17 Business and Management Studies,
895,pub.1095921612,10.28945/2404,,,,The Digital Divide in the United States and Worldwide,"The Digital Divide has been defined as a gap between those with access to new information technologies and those without. The term is also used to characterize the disparity between those who can effectively use information technology and those who cannot. This paper explores the digital divide within the United States (U.S.) and worldwide. Factors contributing to the widening of the gap are identified, including differences in income, age, education, race, household type, and geographic location. In an effort to reduce the Digital Divide, initiatives have been undertaken, such as promoting increased competition to reduce equipment and internet connection costs and U.S. government legislation to provide incentives such as tax relief to Internet providers serving specific geographic areas, and the global initiative by the G- 8 Heads of State to help coordinate worldwide government efforts in closing the Digital Divide.",,InSITE Conference,Proceedings of the 2001 InSITE Conference,Informing Science Institute,1535-0703,,2001,2001,2001,,,,,All OA; Bronze,Proceeding,"C. Sipior, Janice; T Ward, Burke; Z. Marzec, Joanna","C. Sipior, Janice (); T Ward, Burke (); Z. Marzec, Joanna ()",,"C. Sipior, Janice (); T Ward, Burke (); Z. Marzec, Joanna ()",,,,,,,,,,,0,0,,0.0,,http://proceedings.informingscience.org/IS2001Proceedings/pdf/SipiorEBKTheDi.pdf,https://app.dimensions.ai/details/publication/pub.1095921612,46 Information and Computing Sciences; 4610 Library and Information Studies,Clinical Research,,,,,C16 Economics and Econometrics,
895,pub.1007361784,10.1177/0894439303021002002,,,,The Global Digital Divide,"This article concerns the comparative dimension of the digital divide, the global digital divide, assessing processes of various sorts that shape this differentiating feature and mapping its trends of change. The authors (a) “map” the global digital divide with multiple indicators to find patterns of varying degrees of differentiation between countries worldwide and between blocs of countries and (b) assess the various national characteristics that contribute to the level of IT connectedness. The authors compare the effects of these various social national conditions on the pervasiveness of IT. Their preliminary results indicate that it is neither political nor economic national characteristics that are the determinants of IT connectedness but that cultural features are the prime causes. In this sense, the global digital divide is more a product of networking into global society than it is a mere reflection of local economic capabilities.",,Social Science Computer Review,,SAGE Publications,"0894-4393, 1552-8286",,2003-05,2003,2016-08-18,2003-05,21,2,144-161,Closed,Article,"Drori, Gili S.; Jang, Yong Suk","Drori, Gili S. (Stanford University); Jang, Yong Suk (University of Utah)",,"Drori, Gili S. (Stanford University); Jang, Yong Suk (University of Utah)",Stanford University; University of Utah,grid.168010.e; grid.223827.e,Stanford; Salt Lake City,California; Utah,United States; United States,,,,,,50,4,,,3,,https://app.dimensions.ai/details/publication/pub.1007361784,46 Information and Computing Sciences,,,,,,C20 Social Work and Social Policy,
891,pub.1004006776,10.1007/0-387-34588-4_27,,,"978-0-387-34587-1, 978-0-387-34588-8",The Corporate Digital Divide Between Smaller and Larger Firms,,,IFIP Advances in Information and Communication Technology,Social Inclusion: Societal and Organizational Implications for Information Systems,Springer Nature,"1868-4238, 1868-422X",,2006-01-01,2006,,2006-01-01,208,,413-417,All OA; Bronze,Chapter,"Pliskin, Nava; Levy, Margi; Heart, Tsipi; O’Flaherty, Brian; O’Dea, Paul","Pliskin, Nava (Ben-Gurion University of the Negev, Beer-Sheva, Israel); Levy, Margi (Warwick Business School, Coventry, UK); Heart, Tsipi (University College Cork, Cork, Ireland); O’Flaherty, Brian (University College Cork, Cork, Ireland); O’Dea, Paul (Select Strategies, Ireland)",,"Pliskin, Nava (Ben-Gurion University of the Negev); Levy, Margi (University of Warwick); Heart, Tsipi (University College Cork); O’Flaherty, Brian (University College Cork); O’Dea, Paul ()",University College Cork; Ben-Gurion University of the Negev; University of Warwick,grid.7872.a; grid.7489.2; grid.7372.1,Cork; Beersheba; Coventry,; ; Warwickshire,Ireland; Israel; United Kingdom,,,,,,1,0,,,,https://link.springer.com/content/pdf/10.1007/0-387-34588-4_27.pdf,https://app.dimensions.ai/details/publication/pub.1004006776,46 Information and Computing Sciences,,,,,,,
886,pub.1030734175,10.1007/978-1-4615-0827-4_11,,,"978-1-4613-5258-7, 978-1-4615-0827-4",Using Adult Learning in HRD Programs to Bridge the Digital Divide,"While many people around the world enjoy using computers and the Internet, many more are excluded due to lack of access. This phenomenon is commonly known as the digital divide. The digital divide is a powerful force that threatens to continue dividing the world population into “haves” and “have nots.” The divide can be bridged by the skillful application of adult learning principles if those who design and implement HRD programs understand how these principles apply to people in particular life situations with particular approaches to learning.",,Operations Research/Computer Science Interfaces Series,Human Resource Development and Information Technology,Springer Nature,1387-666X,,2002,2002,,2002,17,,231-244,Closed,Chapter,"Bear, Anne A. Ghost; Conti, Gary J.","Bear, Anne A. Ghost (Oklahoma State University, USA); Conti, Gary J. (Oklahoma State University, USA)",,"Bear, Anne A. Ghost (Oklahoma State University); Conti, Gary J. (Oklahoma State University)",Oklahoma State University,grid.65519.3e,Stillwater,Oklahoma,United States,,,,,,1,0,,0.3,,,https://app.dimensions.ai/details/publication/pub.1030734175,"46 Information and Computing Sciences; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,,,,,B11 Computer Science and Informatics,
881,pub.1040535260,10.4018/978-1-59140-968-7.ch002,,,"9781591409687, 9781591409700",Epistemic Value Theory and the Digital Divide,"The digital divide refers to inequalities in access to information technology. Those people who do not have access to information technology are at a significant economic and social disadvantage. As with any other policy decision, in order to evaluate policies for dealing with the digital divide, we need to know exactly what our goal should be. Since the principal value of access to information technology is that it leads to knowledge, work in epistemology can help us to clarify our goal in the context of the digital divide. In this paper, I argue that epistemic value theory can help us to determine which distribution of knowledge to aim for. Epistemic value theory cannot specify a particular distribution to aim for, but it can significantly narrow down the range of possibilities. Additionally, I indicate how the exercise of applying epistemic value theory to the case of the digital divide furthers work in epistemology.",,,Information Technology and Social Justice,IGI Global,,,2007,2007,,,,,29-46,All OA; Green,Chapter,"Rooksby, Emma; Weckert, John; Fallis, Don","Rooksby, Emma (); Weckert, John (); Fallis, Don (University of Arizona, USA)",,"Rooksby, Emma (); Weckert, John (); Fallis, Don (University of Arizona)",University of Arizona,grid.134563.6,Tucson,Arizona,United States,,,,,,5,0,,1.29,,https://repository.arizona.edu/bitstream/10150/105664/1/EVTDDfallis.pdf,https://app.dimensions.ai/details/publication/pub.1040535260,46 Information and Computing Sciences; 4609 Information Systems,,,,,,C17 Business and Management Studies,
879,pub.1107158259,10.1787/236405667766,,,,Understanding the Digital Divide,"The term ""digital divide"" refers to the gap between individuals, households, businesses and geographic areas at different socio-economic levels with regard to their opportunities to access information and communication technologies (ICTs).",,,,,2071-6826,,2001-01-01,2001,,2001-01-01,,,,All OA; Green,Article,OECD,OECD (),,OECD (),,,,,,,,,,,117,29,,40.85,6,https://www.oecd-ilibrary.org/understanding-the-digital-divide_5kzd927kqhd6.pdf?itemId=%2Fcontent%2Fpaper%2F236405667766&mimeType=pdf,https://app.dimensions.ai/details/publication/pub.1107158259,"35 Commerce, Management, Tourism and Services; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,,,,,,
878,pub.1015113631,10.1023/b:mind.0000005137.58950.c9,,,,Making Information Transparent as a Means to Close the Global Digital Divide,"This paper argues that information should be made transparent as a means to close the global digital divide problem. The usual conception of the digital divide as a bifurcation between the information ‘rich’ and ‘poor’ in fact does a poor job at describing the reality of the situation, which is characterized by multiple dimensions of digital divides in many contexts. Taking the lead from Albert Borgmann, it is recognized that the so-called information poor do possess a rich resource of information which needs to be fully accounted for in order to solve the global digital divide problem. In addition, making information transparent means, following the theory of development of Peruvian economist Hernando de Soto, that information should be made available and accessible through a system of representation. Floridi’s account of information ethics thus needs to be supplemented by the realization that members of infosphere, which in his view consist of information objects, should be made transparent in order that the global digital divide be ameliorated. In other words there should be a system of information about information, namely semantic representation of objective information which enables the locals to make full use of their available informational resources.",,Minds and Machines,,Springer Nature,"0924-6495, 1572-8641",,2004-02,2004,,2004-02,14,1,85-99,All OA; Green,Article,"Hongladarom, Soraj","Hongladarom, Soraj (Department of Philosophy, Faculty of Arts, Chulalongkorn University, 10330, Bangkok, Thailand)",,"Hongladarom, Soraj (Chulalongkorn University)",Chulalongkorn University,grid.7922.e,Bangkok,,Thailand,,,,,,10,0,,7.01,,http://www.cse.buffalo.edu/~rapaport/510/mm-hongladarom.pdf,https://app.dimensions.ai/details/publication/pub.1015113631,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
876,pub.1039002537,10.1080/1097198x.2005.10856401,,,,A Conceptual Framework for the Role of Government in Bridging the Digital Divide,"In the current era of technological growth and innovation, the role of information and communication technology (ICT) as a catalyst to enhance economic development and the quality of life in developing countries, has become an increasingly important issue. The term digital divide has been used to refer to the gap between those who have access to and utilize ICT versus those who do not. Based on the literature on the digital divide and calls for broad-spectrum interdisciplinary frameworks to guide research on this topic (Lu, 2001), a conceptual framework is presented in this paper to explain the forces that often increase the digital divide as well as those that can provide the means to bridge it. Using this framework, India is used as an illustrative case to document attempts to utilize ICT to enhance the economic circumstances and quality of life for the rural and poor segments of the Indian population and to argue that government and other public institutions have an important role in bridging the digital divide in developing countries. Further, the direct role of government is distinguished from the indirect role in order to clarify and delineate the various ways in which public institutions can facilitate bridging the digital divide.",,Journal of Global Information Technology Management,,Taylor & Francis,"1097-198X, 2333-6846",,2005-07,2005,2014-09-09,2005-07,8,3,28-46,Closed,Article,"Mistry, Jamshed J.","Mistry, Jamshed J. (Worcester Polytechnic Institute, U.S.A., jjmistry@wpi.edu)",,"Mistry, Jamshed J. (Worcester Polytechnic Institute)",Worcester Polytechnic Institute,grid.268323.e,Worcester,Massachusetts,United States,,,,,,18,2,,11.59,,,https://app.dimensions.ai/details/publication/pub.1039002537,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,C17 Business and Management Studies,
873,pub.1051403945,10.1080/01972240309490,,,,"Dissecting the ""Digital Divide"": A Case Study in Egypt","For the last decade, the concept of a ""digital divide"" has framed people's understanding of technology's relationship to equity and development. This article critiques theoretically the digital divide concept and supports this critique by examining a case study of technology and education in Egypt. The study illustrates the social embeddedness of technology and the intertwining of computer access with broader issues of political power, thus refuting simplistic notions of divides to be overcome through provision of equipment.",,The Information Society,,Taylor & Francis,"0197-2243, 1087-6537",,2003-09,2003,,2003-09,19,4,297-304,Closed,Article,"Warschauer, Mark","Warschauer, Mark (Department of Education, University of California, Irvine, Irvine, California, USA)",,"Warschauer, Mark (University of California, Irvine)","University of California, Irvine",grid.266093.8,Irvine,California,United States,,,,,,144,26,,30.71,3,,https://app.dimensions.ai/details/publication/pub.1051403945,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4608 Human-Centred Computing; 4610 Library and Information Studies",,,,,,C23 Education,4 Quality Education
872,pub.1014954786,10.1145/985921.985968,,,1581137036,Connecting bridges across the digital divide,"Connecting people across the Digital Divide is as much a social effort as a technological one. We are developing a community-centered approach to learn how interaction techniques can compensate for poor communication across the Digital Divide. Preliminary trials have yielded interfaces that deal with poor quality by adapting Instant Messaging techniques for multiple modalities, providing improved semi-synchronous communication. Lessons learned suggest new ways to design user interfaces specifically for the developing world.",,,Extended abstracts of the 2004 conference on Human factors and computing systems  - CHI '04,Association for Computing Machinery (ACM),,,2004,2004,,2004,,,1039-1040,All OA; Green,Proceeding,"Tucker, William D.","Tucker, William D. (University of Cape Town, Rondebosch, South Africa)",,"Tucker, William D. (University of Cape Town)",University of Cape Town,grid.7836.a,Rondebosch,,South Africa,,,,,,1,0,,0.24,,https://repository.uwc.ac.za:443/xmlui/bitstream/10566/591/1/Tucker-CHI2004.pdf,https://app.dimensions.ai/details/publication/pub.1014954786,"46 Information and Computing Sciences; 4608 Human-Centred Computing; 47 Language, Communication and Culture; 4701 Communication and Media Studies",Clinical Research; Clinical Trials and Supportive Activities,,,,,B11 Computer Science and Informatics,3 Good Health and Well Being
870,pub.1031109669,10.1007/978-3-540-30078-6_48,,,"978-3-540-22916-2, 978-3-540-30078-6",Digital Divides Revisited: Towards a Model for Analysis,"This paper presents a model for analyzing divides. The model is based on earlier research on the divide and includes: physical access, autonomy of use, know-how and motivation. Depending on the type of digital divide and the local situation, rectifying efforts must address the most crucial factor, which could be any of the four.",,Lecture Notes in Computer Science,Electronic Government,Springer Nature,"0302-9743, 1611-3349",,2004,2004,,2004,3183,,289-292,Closed,Chapter,"Andersson, Annika","Andersson, Annika (Department of Informatics (ESI), Örebro University, 701 82, Örebro, Sweden)",,"Andersson, Annika (Örebro University)",Örebro University,grid.15895.30,Örebro,,Sweden,,,,,,1,0,,,,,https://app.dimensions.ai/details/publication/pub.1031109669,46 Information and Computing Sciences,,,,,,B11 Computer Science and Informatics,
869,pub.1011714088,10.1007/978-1-4757-3575-8_2,,,"978-1-4757-3577-2, 978-1-4757-3575-8",The Three Digital Divides,"With Internet connectivity progressing at a dizzying rate, the focus of attention has shifted to those left behind. The shorthand word for this concern is the “digital divide.” Underlying virtually every discussion about this digital divide of Internet connectivity is the implicit assumption that such a divide is a bad thing, requiring us to do “something.” But maybe we first should pause for a moment and understand the implications of ending this divide. If we do that, we might end up changing our perspective on Internet policy in an important way: away from a focus on Internet connectivity, and towards the creation of E-commerce and content.",,Topics in Regulatory Economics and Policy,Cyber Policy and Economics in an Internet Age,Springer Nature,"2730-7468, 2730-7476",,2002,2002,,2002,,,19-26,Closed,Chapter,"Noam, Eli M.","Noam, Eli M. (Columbia University, USA)",,"Noam, Eli M. (Columbia University)",Columbia University,grid.21729.3f,New York,New York,United States,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1011714088,"46 Information and Computing Sciences; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,,,,,C17 Business and Management Studies,
866,pub.1072709320,10.5210/fm.v11i5.1327,,,,Zones of silence: A framework beyond the digital divide,"There is no doubt that much digital divide work — including connectivity initiatives, technology transfer programs, and other projects — is done with good intention. Yet, as has been widely recognized, the conceptual framework of the digital divide is limiting. The language of the digital divide not only places people into simplistic “have”/“have not” categories, making assumptions about the solution to “information poverty” with little attention to local contexts, its logic also continues a paradigm of development that engages with the global south only at the point of what it “lacks”. I propose a framework, which provides a wider, and more nuanced, lens to look through. It focuses work in ways and in areas consistently overlooked by the digital divide, particularly on the realities, voices, and complexities within its unconnected, “have not” spaces — the zones of silence. Encouraging critical questioning of assumptions and an understanding of local contexts and points of view, a zones of silence framework is a way to broaden the dialogue on global communication and information access beyond a discourse of need, to one of mutual questioning, sharing, and learning. I begin with a brief critique of the digital divide, followed by a definition of this zones of silence framework and how it can help us to see and consider issues differently. I then suggest three areas where work from this perspective might begin.",,First Monday,,University of Illinois Libraries,"1396-0466, 1396-0458",,2006-05-01,2006,2006-05-01,,,,,Closed,Article,"Potter, Amelia Bryne","Potter, Amelia Bryne ()",,"Potter, Amelia Bryne ()",,,,,,,,,,,24,2,,8.87,,,https://app.dimensions.ai/details/publication/pub.1072709320,"46 Information and Computing Sciences; 4609 Information Systems; 4610 Library and Information Studies; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,Generic health relevance,,,,C23 Education,
